# source: resources/Workstream 2 - Schema and Data Model/Cell Science Metadata/AICS_AIND_Data_Schema_Field_Crosswalk.xlsx
# original kept: yes


### sheet: Summary

AICS to AIND Data Schema Gap Analysis
Pinned reference: aind-data-schema v2.9.0 | Source: AICS candidate schema 0.6.0 slim REMBI-categorized primary-image view
Source records | 33184
Top-level fields | 186
Nested child fields | 49
AIND required checks | 42
Reference version | aind-data-schema v2.9.0
Prepared | 2026-08-25 16:00:00
Top-level mapping status | Count | Share |  | AIND required-gap severity | Count
Direct | 11 | 0.05913978494623656 |  | High | 28
Partial | 75 | 0.4032258064516129 |  | Medium | 9
Extension container | 48 | 0.25806451612903225 |  | Low | 5
No first-class analog | 23 | 0.12365591397849462
Platform or manifest | 10 | 0.053763440860215055
Derived/search-only | 19 | 0.10215053763440861
Interpretation
Only 11 top-level fields have a direct semantic destination. Direct mapping does not make the surrounding AIND object valid: 42 required or conditionally required target checks were assessed separately, and 28 are high-severity gaps. The dominant blockers are acquisition-level aggregation, cell-line/specimen identity, timing and device configuration, plate/well design, and missing administrative provenance.

### sheet: Top-level Crosswalk

Top-level AICS to AIND Crosswalk
All 186 physical top-level fields in the supplied Parquet view. Filters and conditional colors are enabled.
AICS field | AICS category | Description | AICS type | Requirement | Nested path | AIND target | Mapping status | Severity | Recommendation | Mapping note | Resolution layer | Reference version | Reference URL
time_of_perturbation | Specimen & Experimental Conditions | Harmonized metadata field for time of perturbation. | string | optional |  | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
timepoints_used_for_basement_membrane_segmentation_training | Processing, Analysis & Derived Data | Harmonized metadata field for timepoints used for basement membrane segmentation training. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
timepoints_used_for_basement_membrane_segmentation_validation | Processing, Analysis & Derived Data | Harmonized metadata field for timepoints used for basement membrane segmentation validation. | string | optional |  | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
workflow | Image Acquisition | Harmonized metadata field for workflow. | string | optional |  | acquisition.acquisition_type or processing.pipelines[].name | Partial | Medium | R4/R7 | Disambiguate acquisition workflow from processing pipeline. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line_annotation | Biological Source | Nested biological-source annotation associated with an asset. | struct<cell_line: string, clone: string, gene: string, protein: string, structure: string, fluorophore: string, catalog_url: string, derivation_status: string, lineage_rule: string> | optional | cell_line_annotation | Cell-line/specimen extension; limited Subject/SpecimenProcedure parameters | No first-class analog | High | R2 | AIND v2.9.0 has animal/human subject details but no cell-line/clone lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line_genes_search | Biological Source | BFF search bridge containing normalized cell line genes values. | string | optional | cell_line_annotation | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line_proteins_search | Biological Source | BFF search bridge containing normalized cell line proteins values. | string | optional | cell_line_annotation | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line_structures_search | Biological Source | BFF search bridge containing normalized cell line structures values. | string | optional | cell_line_annotation | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
cell_line_fluorophores_search | Biological Source | BFF search bridge containing normalized cell line fluorophores values. | string | optional | cell_line_annotation | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channels | Image Acquisition | Nested channel descriptions associated with an asset. | list<element: struct<channel_definition_id: string, channel_number: int64, channel_name: string, illumination_mode: string, light_source_excitation_wavelength_nm: double, fluorophore_or_stain: string, structure: string, protein: string, gene: string, marker: string, derivation_status: string, derivation_notes: string, reference_source: string, reference_url: string, reference_retrieved_at: string, reference_match_rule: string>> | optional | channels[] | ImagingConfig.channels[] | Partial | High | R4 | Channel names and excitation map well, but required detector device identity/trigger and full filters are absent. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
reagents | Specimen & Experimental Conditions | Nested normalized reagent or treatment records. | list<element: struct<reagent_index: int64, reagent_name: string, reagent_role: string, working_concentration_value: double, working_concentration_unit: string, comparison_perturbation_name: string, comparison_perturbation_concentration_value: double, comparison_perturbation_concentration_unit: string, treatment_group: string, treatment_time_value: double, treatment_time_unit: string, volume_value: double, volume_unit: string, treatment_start: string, treatment_end: string, treatment_duration_minutes: double, normalization_status: string>> | optional | reagents[] | procedures.specimen_procedures[].protocol_parameters/procedure_details | Extension container | Medium | R6 | Can be retained in flexible parameters, but semantics, units, and vocabulary are not first-class. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
outputs | Processing, Analysis & Derived Data | Nested derived output and viewer records. | list<element: struct<output_type: string, target_or_channel: string, storage_uri: string, download_uri: string, viewer_url: string, algorithm_name: string, algorithm_details: string>> | optional | outputs[] | processing.data_processes[].output_parameters/output_path/code.parameters | Extension container | Medium | R7 | Can be retained, but requires normalization into DataProcess, Code, and output lineage. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_names_search | Image Acquisition | BFF search bridge containing normalized channel names values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
illumination_modes_search | Image Acquisition | BFF search bridge containing normalized illumination modes values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_numbers_search | Image Acquisition | BFF search bridge containing normalized channel numbers values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_excitation_wavelengths_nm_search | Image Acquisition | BFF search bridge containing normalized channel excitation wavelengths nm values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
fluorophores_or_stains_search | Image Acquisition | BFF search bridge containing normalized fluorophores or stains values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_structures_search | Image Acquisition | BFF search bridge containing normalized channel structures values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
gene_symbols_search | Image Acquisition | BFF search bridge containing normalized gene symbols values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
protein_targets_search | Image Acquisition | BFF search bridge containing normalized protein targets values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_markers_search | Image Acquisition | BFF search bridge containing normalized channel markers values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
channel_derivation_statuses_search | Image Acquisition | BFF search bridge containing normalized channel derivation statuses values. | string | optional | channels[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
reagent_names_search | Specimen & Experimental Conditions | BFF search bridge containing normalized reagent names values. | string | optional | reagents[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
reagent_roles_search | Specimen & Experimental Conditions | BFF search bridge containing normalized reagent roles values. | string | optional | reagents[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
comparison_perturbation_names_search | Specimen & Experimental Conditions | BFF search bridge containing normalized comparison perturbation names values. | string | optional | reagents[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
treatment_groups_search | Specimen & Experimental Conditions | BFF search bridge containing normalized treatment groups values. | string | optional | reagents[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
output_types_search | Processing, Analysis & Derived Data | BFF search bridge containing normalized output types values. | string | optional | outputs[] | No portable target (derive from canonical nested metadata) | Derived/search-only | Low | R9 | BFF search bridge; do not migrate as an independent AIND field. | Search/index layer | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0

### sheet: Nested Child Crosswalk

Nested Child-Field Crosswalk
All 49 physical child fields inside cell_line_annotation, channels, reagents, and outputs.
AICS class | Child field | Description | AICS type | Requirement | Unit | AIND target | Mapping status | Severity | Recommendation | Mapping note | Resolution layer | Reference version | Reference URL
ChannelDescription | channel_definition_id | Foreign key to a reusable channel definition. | string | required |  | No first-class channel identifier/index | No first-class analog | Medium | R4/R9 | Retain as an extension or search/index identifier. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | channel_number | One-based acquisition order when supplied or source-supported. | int64 | optional |  | No first-class channel identifier/index | No first-class analog | Medium | R4/R9 | Retain as an extension or search/index identifier. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | channel_name | Normalized channel name, generally structure_fluorophore. | string | recommended |  | ImagingConfig.channels[].channel_name | Direct | Low | R4 | Direct channel-name mapping. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | illumination_mode | Controlled illumination mode used for acquisition. | string | required |  | DataStream.modalities / Channel.light_sources | Partial | Medium | R4 | Map to a controlled modality and typed light-source configuration. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | light_source_excitation_wavelength_nm | Peak excitation light-source wavelength in nanometers. | double | recommended | nanometer | Channel.light_sources[LaserConfig].wavelength | Direct | Low | R4 | Supply nanometers as the explicit wavelength unit. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | fluorophore_or_stain | Fluorescent protein, fluorophore, or stain represented in a channel. | string | optional |  | Channel.intended_measurement; optional FluorescentReagent/targeted_structure | Partial | Medium | R4 | AIND intended_measurement is a single semantic slot; the AICS channel annotation is richer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | structure | Normalized biological structure associated with the asset or channel. | string | optional |  | Channel.intended_measurement; optional FluorescentReagent/targeted_structure | Partial | Medium | R4 | AIND intended_measurement is a single semantic slot; the AICS channel annotation is richer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | protein | Protein target associated with a channel or cell-line annotation. | string | optional |  | Channel.intended_measurement; optional FluorescentReagent/targeted_structure | Partial | Medium | R4 | AIND intended_measurement is a single semantic slot; the AICS channel annotation is richer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | gene | Case-preserved gene symbol associated with a channel or cell-line annotation. | string | optional |  | Channel.intended_measurement; optional FluorescentReagent/targeted_structure | Partial | Medium | R4 | AIND intended_measurement is a single semantic slot; the AICS channel annotation is richer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | marker | Assay marker or probe label associated with a channel. | string | optional |  | Channel.intended_measurement; optional FluorescentReagent/targeted_structure | Partial | Medium | R4 | AIND intended_measurement is a single semantic slot; the AICS channel annotation is richer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | derivation_status | Controlled provenance status for a normalized or enriched value. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | derivation_notes | Human-readable explanation of the derivation or unresolved state. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | reference_source | Source used for a lookup-derived assertion. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | reference_url | URL of a reference used for a lookup-derived assertion. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | reference_retrieved_at | Date on which the reference was accessed. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
ChannelDescription | reference_match_rule | Rule used to match a reference to this record. | string | optional |  | Channel notes / governed provenance extension | Extension container | Medium | R4/R9 | Reference and derivation metadata are not first-class Channel properties. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | cell_line | Canonical AICS cell-line identifier without leading zeros. | string | optional |  | Cell-line/specimen extension | No first-class analog | High | R2 | No AIND v2.9.0 cell-line identity or clone-lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | clone | Cell-line clone identifier stored as text. | string | optional |  | Cell-line/specimen extension | No first-class analog | High | R2 | No AIND v2.9.0 cell-line identity or clone-lineage object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | gene | Case-preserved gene symbol associated with a channel or cell-line annotation. | string | optional |  | Channel.intended_measurement / targeted_structure / FluorescentReagent | Partial | Medium | R2/R4 | The value may describe specimen identity or an acquired channel; context must be preserved. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | protein | Protein target associated with a channel or cell-line annotation. | string | optional |  | Channel.intended_measurement / targeted_structure / FluorescentReagent | Partial | Medium | R2/R4 | The value may describe specimen identity or an acquired channel; context must be preserved. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | structure | Normalized biological structure associated with the asset or channel. | string | optional |  | Channel.intended_measurement / targeted_structure / FluorescentReagent | Partial | Medium | R2/R4 | The value may describe specimen identity or an acquired channel; context must be preserved. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | fluorophore | Harmonized metadata field for fluorophore. | string | optional |  | Channel.intended_measurement / targeted_structure / FluorescentReagent | Partial | Medium | R2/R4 | The value may describe specimen identity or an acquired channel; context must be preserved. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | catalog_url | Harmonized metadata field for catalog url. | string | optional |  | Governed extension / provenance | No first-class analog | Medium | R2/R9 | Catalog and derivation provenance have no dedicated AIND field on a cell-line object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | derivation_status | Controlled provenance status for a normalized or enriched value. | string | optional |  | Governed extension / provenance | No first-class analog | Medium | R2/R9 | Catalog and derivation provenance have no dedicated AIND field on a cell-line object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
CellLineAnnotation | lineage_rule | Harmonized metadata field for lineage rule. | string | optional |  | Governed extension / provenance | No first-class analog | Medium | R2/R9 | Catalog and derivation provenance have no dedicated AIND field on a cell-line object. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | reagent_index | Harmonized metadata field for reagent index. | int64 | optional |  | No first-class reagent index | No first-class analog | Low | R9 | Ordering/indexing belongs to the source or migration layer. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | reagent_name | Harmonized metadata field for reagent name. | string | conditional_required |  | SpecimenProcedure.procedure_details[Reagent].name | Direct | Low | R6 | AIND Reagent also requires source, which is absent from the public view. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | reagent_role | Harmonized metadata field for reagent role. | string | conditional_required |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | working_concentration_value | Harmonized metadata field for working concentration value. | double | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | working_concentration_unit | Harmonized metadata field for working concentration unit. | string | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | comparison_perturbation_name | Drug condition paired with a vehicle-control reagent entry. | string | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | comparison_perturbation_concentration_value | Concentration of the paired drug condition for a vehicle control. | double | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | comparison_perturbation_concentration_unit | Unit for the paired drug-condition concentration. | string | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_group | Controlled treatment assignment: drug or vehicle. | string | conditional_required |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_time_value | Elapsed treatment time represented as a numeric value. | double | conditional_required |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_time_unit | Unit for the elapsed treatment time. | string | conditional_required |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | volume_value | Harmonized metadata field for volume value. | double | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | volume_unit | Harmonized metadata field for volume unit. | string | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_start | Harmonized metadata field for treatment start. | string | optional |  | Acquisition.manipulations[].start_time/end_time or SpecimenProcedure dates | Partial | Medium | R6 | Placement depends on whether treatment occurred during acquisition or specimen preparation. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_end | Harmonized metadata field for treatment end. | string | optional |  | Acquisition.manipulations[].start_time/end_time or SpecimenProcedure dates | Partial | Medium | R6 | Placement depends on whether treatment occurred during acquisition or specimen preparation. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | treatment_duration_minutes | Harmonized metadata field for treatment duration minutes. | double | optional | minute | Acquisition.manipulations[].start_time/end_time or SpecimenProcedure dates | Partial | Medium | R6 | Placement depends on whether treatment occurred during acquisition or specimen preparation. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Reagent | normalization_status | Harmonized metadata field for normalization status. | string | optional |  | SpecimenProcedure.protocol_parameters/procedure_details | Extension container | Medium | R6 | AIND Reagent lacks role, concentration, volume, comparison-arm, and normalization fields. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | output_type | Harmonized metadata field for output type. | string | optional |  | DataProcess.process_type/output_parameters | Partial | Medium | R7 | Normalize the AICS output vocabulary to process and output semantics. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | target_or_channel | Harmonized metadata field for target or channel. | string | optional |  | DataProcess.output_parameters | Extension container | Low | R7 | Retain as a typed output parameter. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | storage_uri | Harmonized metadata field for storage uri. | string | optional |  | DataProcess.output_path | Direct | Low | R7 | Direct path mapping when the output belongs to the corresponding process. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | download_uri | Harmonized metadata field for download uri. | string | optional |  | metadata.other_identifiers[] or registry platform | Platform or manifest | Low | R5/R9 | AIND has no dedicated download/viewer URL on DataProcess outputs. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | viewer_url | Harmonized metadata field for viewer url. | string | optional |  | metadata.other_identifiers[] or registry platform | Platform or manifest | Low | R5/R9 | AIND has no dedicated download/viewer URL on DataProcess outputs. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | algorithm_name | Harmonized metadata field for algorithm name. | string | optional |  | DataProcess.code.name | Direct | Medium | R7 | Code.url remains required for a valid reproducible Code record. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
Output | algorithm_details | Harmonized metadata field for algorithm details. | string | optional |  | DataProcess.code.parameters / notes | Partial | Medium | R7 | Split executable parameters from narrative details and add code URL/version. | Portable schema | aind-data-schema v2.9.0 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0

### sheet: AIND Required Gaps

AIND Required-Field Gap Inventory
Required and conditionally required fields for the intended in-vitro imaging pathway; readiness is structural, not a row-level completeness score.
AIND field | Requirement | Closest AICS evidence | Coverage | Severity | Gap statement | Recommendation | Reference URL
metadata.name | Required | file_name / acquisition_group_id | Partial | High | AIND asset name is acquisition-level; AICS identifiers are file-row-level. | R1 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
metadata.location | Required | file_path | Partial | High | AICS path points to one file; AIND location points to the data asset root. | R1 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
data_description.creation_time | Required | uploaded_at; imaging_at | Ambiguous | High | Upload, acquisition, and asset-creation time are not interchangeable. | R10 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
data_description.institution | Required | None | Missing | High | No collecting institution field in the supplied view. | R10 | https://github.com/AllenNeuralDynamics/aind-data-schema/tree/v2.9.0
